label,job_title,complexity,results,accountability,ft_label
4,Procurement Manager I ,directs through subordinate supervisors procurement operations and staff performs work relating to the procurement of good and 4 applied it takes into account the difficulty of work scope and range of assignments ksas and nature of contacts  services negotiation of contracted services and or supervision of storage facilities frequent contact with internal customers and vendors to discuss purchases and resolve issues contacts also include interactions with subordinates to provide leadership and guidance in managing the area knowledge of procurement law including the virginia public procurement act and procurement principles and practices including approved methods of procurement supplier diversity requirements requirements and specification package development mitigation of contractual and financial risks and small purchase programs may develop internal procurement policies and procedures knowledge understanding and application of necessary contract management and administration principles knowledge of foia principles related to procurement activities requires knowledge and use of statewide central electronic procurement system financial systems and warehouse management systems may require knowledge and use of agency specific resource planning systems ,,,__label__4 directs through subordinate supervisors procurement operations and staff performs work relating to the procurement of good and 4 applied it takes into account the difficulty of work scope and range of assignments ksas and nature of contacts  services negotiation of contracted services and or supervision of storage facilities frequent contact with internal customers and vendors to discuss purchases and resolve issues contacts also include interactions with subordinates to provide leadership and guidance in managing the area knowledge of procurement law including the virginia public procurement act and procurement principles and practices including approved methods of procurement supplier diversity requirements requirements and specification package development mitigation of contractual and financial risks and small purchase programs may develop internal procurement policies and procedures knowledge understanding and application of necessary contract management and administration principles knowledge of foia principles related to procurement activities requires knowledge and use of statewide central electronic procurement system financial systems and warehouse management systems may require knowledge and use of agency specific resource planning systems 
5,Procurement Officer II ,knowledge of procurement law including the virginia public procurement act internal procurement policies and procedures and procurement principles and practices including approved methods of procurement supplier diversity requirements specification package development contract management and administration principles and small purchase programs knowledge of foia principles related to procurement activities may also require considerable knowledge of contract law performs work of considerable difficulty in the solicitation and execution of complex procurement contracts and review of procurement and material procedures and activities applies knowledge in developing contracts for the provision of goods and services frequent contact with agency management vendors other state agencies and procurement customers complete knowledge and application of best practice contract management and administration principles may supervise other employees and perform various managerial and leadership activities collaborates effectively with team members and customers to ensure successful procurement activities requires significant knowledge and use of statewide 6 central electronic procurement system financial systems and warehouse management systems may require knowledge and use of agency specific resource planning systems ,,,__label__5 knowledge of procurement law including the virginia public procurement act internal procurement policies and procedures and procurement principles and practices including approved methods of procurement supplier diversity requirements specification package development contract management and administration principles and small purchase programs knowledge of foia principles related to procurement activities may also require considerable knowledge of contract law performs work of considerable difficulty in the solicitation and execution of complex procurement contracts and review of procurement and material procedures and activities applies knowledge in developing contracts for the provision of goods and services frequent contact with agency management vendors other state agencies and procurement customers complete knowledge and application of best practice contract management and administration principles may supervise other employees and perform various managerial and leadership activities collaborates effectively with team members and customers to ensure successful procurement activities requires significant knowledge and use of statewide 6 central electronic procurement system financial systems and warehouse management systems may require knowledge and use of agency specific resource planning systems 
5,Procurement Manager II ,performs work of considerable difficulty in the oversight of procurement and or material handling functions significant knowledge of procurement law including the virginia public procurement act and procurement principles and practices including approved methods of procurement supplier diversity requirements specification package development contract management and administration principles and small purchase programs significant knowledge of foia principles related to procurement activities may require considerable knowledge of contract law may develop internal procurement policies and procedures may develop direct or manage appropriate internal agency specific delegated procurement authority complete knowledge and application of best practice contract management and administration principles develops and manages necessary contract management and administration policies and procedures in accordance with state standards and procurement best practices collaborate with the state central procurement authorities the division of purchases and supply and the virginia information technologies agency senior organizational leadership customers and vendors to advise consult on and resolve procurement problems may provide technical guidance for specialized procurement programs requires significant knowledge and use of statewide central electronic procurement system financial systems and warehouse management systems may require knowledge and use of agency specific resource planning systems directs through subordinate supervisors procurement 8 operations and staff contacts also include interactions with subordinates to provide leadership and guidance in managing the area ,,,__label__5 performs work of considerable difficulty in the oversight of procurement and or material handling functions significant knowledge of procurement law including the virginia public procurement act and procurement principles and practices including approved methods of procurement supplier diversity requirements specification package development contract management and administration principles and small purchase programs significant knowledge of foia principles related to procurement activities may require considerable knowledge of contract law may develop internal procurement policies and procedures may develop direct or manage appropriate internal agency specific delegated procurement authority complete knowledge and application of best practice contract management and administration principles develops and manages necessary contract management and administration policies and procedures in accordance with state standards and procurement best practices collaborate with the state central procurement authorities the division of purchases and supply and the virginia information technologies agency senior organizational leadership customers and vendors to advise consult on and resolve procurement problems may provide technical guidance for specialized procurement programs requires significant knowledge and use of statewide central electronic procurement system financial systems and warehouse management systems may require knowledge and use of agency specific resource planning systems directs through subordinate supervisors procurement 8 operations and staff contacts also include interactions with subordinates to provide leadership and guidance in managing the area 
6,Procurement Officer III,serves as an expert in the review and analysis of specialized procurement issues may perform compliance reviews of the procurement activities of agencies and institutions including highly complex and diverse privatized services information technology and telecommunication products may establish highly complex procurements and negotiated contracts for goods and services for use throughout the commonwealth by all public bodies requires substantial knowledge and use of statewide central electronic procurement system financial systems and warehouse management systems may require knowledge and use of agency specific resource planning systems applies knowledge of technology including automated procurement systems e commerce e procurement and material management related operations applies knowledge of the specialized subject area and related procurement laws and regulations frequent contact with agency management to provide technical consulting services training guidance and recommendations for improving procurement related operations expert knowledge of procurement law including the virginia public procurement act and procurement 10 principles and practices including approved methods of procurement supplier diversity requirements specification package development contract management and administration principles and small purchase programs complete knowledge and application of best practice contract management and administration principles may develop internal procurement policies and procedures significant knowledge of foia principles related to procurement activities may supervise other employees and perform various managerial and leadership activities collaborates effectively with team members and customers to ensure successful procurement activities may manage cross functional teams from multiple program areas may serve as a project leader on large scale complex contracts from origination to award ,,,__label__6 serves as an expert in the review and analysis of specialized procurement issues may perform compliance reviews of the procurement activities of agencies and institutions including highly complex and diverse privatized services information technology and telecommunication products may establish highly complex procurements and negotiated contracts for goods and services for use throughout the commonwealth by all public bodies requires substantial knowledge and use of statewide central electronic procurement system financial systems and warehouse management systems may require knowledge and use of agency specific resource planning systems applies knowledge of technology including automated procurement systems e commerce e procurement and material management related operations applies knowledge of the specialized subject area and related procurement laws and regulations frequent contact with agency management to provide technical consulting services training guidance and recommendations for improving procurement related operations expert knowledge of procurement law including the virginia public procurement act and procurement 10 principles and practices including approved methods of procurement supplier diversity requirements specification package development contract management and administration principles and small purchase programs complete knowledge and application of best practice contract management and administration principles may develop internal procurement policies and procedures significant knowledge of foia principles related to procurement activities may supervise other employees and perform various managerial and leadership activities collaborates effectively with team members and customers to ensure successful procurement activities may manage cross functional teams from multiple program areas may serve as a project leader on large scale complex contracts from origination to award 
6,Procurement Manager III,manages directs develops implements interprets and evaluates complex procurement programs and processes contacts with senior agency administrators and external vendors requiring high level of oral and written communication skills performs work of extensive difficulty in the oversight of procurement and material handling functions applies extensive knowledge of the principles and practices of procurement material operations contract management and governmental purchasing frequent contact with the state central procurement authorities the division of purchases and supply or the virginia information technologies agency senior organizational leadership customers and vendors to advise consult with or resolve management problems requires substantial knowledge and use of statewide central electronic procurement system financial systems and warehouse management systems may require knowledge and use of agency specific resource planning systems directs through subordinate supervisors procurement operations and staff contacts also include interactions with subordinates to provide leadership and guidance in managing the area 12expert knowledge of procurement law including the virginia public procurement act and procurement principles and practices including approved methods of procurement supplier diversity requirements specification package development contract management and administration principles and small purchase programs complete knowledge and application of best practice contract management and administration principles significant knowledge of foia principles related to procurement activities uses basic spend management reports to identify and source and contract for organizational needs may develop direct or manage appropriate internal agency specific delegated procurement authority may develop and manage all necessary contract management and administration policies and procedures in accordance with state standards ,,,__label__6 manages directs develops implements interprets and evaluates complex procurement programs and processes contacts with senior agency administrators and external vendors requiring high level of oral and written communication skills performs work of extensive difficulty in the oversight of procurement and material handling functions applies extensive knowledge of the principles and practices of procurement material operations contract management and governmental purchasing frequent contact with the state central procurement authorities the division of purchases and supply or the virginia information technologies agency senior organizational leadership customers and vendors to advise consult with or resolve management problems requires substantial knowledge and use of statewide central electronic procurement system financial systems and warehouse management systems may require knowledge and use of agency specific resource planning systems directs through subordinate supervisors procurement operations and staff contacts also include interactions with subordinates to provide leadership and guidance in managing the area 12expert knowledge of procurement law including the virginia public procurement act and procurement principles and practices including approved methods of procurement supplier diversity requirements specification package development contract management and administration principles and small purchase programs complete knowledge and application of best practice contract management and administration principles significant knowledge of foia principles related to procurement activities uses basic spend management reports to identify and source and contract for organizational needs may develop direct or manage appropriate internal agency specific delegated procurement authority may develop and manage all necessary contract management and administration policies and procedures in accordance with state standards 
7,Procurement Manager IV ,establishes and maintains statewide procurement programs that prescribe and certify a level of professional competence in goods and services procurement in all agencies and institutions possesses and applies comprehensive expert knowledge of procurement law including the virginia public procurement act and procurement principles and practices including approved methods of procurement supplier diversity requirements specification package development contract management and administration and small purchase programs 14develops and directs or manages appropriate delegated procurement authority to ensure compliance by state agencies and institutions with applicable law regulations and policies significant knowledge of foia principles related to procurement activities possesses and applies advanced knowledge of leadership and management principles and practices manages the statewide central electronic procurement system and integrates with any necessary financial systems and or warehouse management systems applies knowledge of sound business practices and automated integrated systems contacts include executive level decision makers such as agency heads and procurement directors legislators cabinet secretaries the office of the attorney general other state agencies and vendors to discuss major purchasing issues policies and regulations ,,,__label__7 establishes and maintains statewide procurement programs that prescribe and certify a level of professional competence in goods and services procurement in all agencies and institutions possesses and applies comprehensive expert knowledge of procurement law including the virginia public procurement act and procurement principles and practices including approved methods of procurement supplier diversity requirements specification package development contract management and administration and small purchase programs 14develops and directs or manages appropriate delegated procurement authority to ensure compliance by state agencies and institutions with applicable law regulations and policies significant knowledge of foia principles related to procurement activities possesses and applies advanced knowledge of leadership and management principles and practices manages the statewide central electronic procurement system and integrates with any necessary financial systems and or warehouse management systems applies knowledge of sound business practices and automated integrated systems contacts include executive level decision makers such as agency heads and procurement directors legislators cabinet secretaries the office of the attorney general other state agencies and vendors to discuss major purchasing issues policies and regulations 
4,Probation Officer I,work requires discretion and judgment in supervising routine to high risk offenders provides supervision by conducting investigations for the courts prior to sentencing assessing offender needs referring offenders to service providers and documenting compliance with court ordered conditions of probation or parole may function as specialized officers and supervise the most difficult offenders in such areas as sexual offenses substance abuse or those requiring intensive supervision frequent and sensitive external community contact to manage offenders work is complicated by the nature of the assigned caseload may require certification ,,,__label__4 work requires discretion and judgment in supervising routine to high risk offenders provides supervision by conducting investigations for the courts prior to sentencing assessing offender needs referring offenders to service providers and documenting compliance with court ordered conditions of probation or parole may function as specialized officers and supervise the most difficult offenders in such areas as sexual offenses substance abuse or those requiring intensive supervision frequent and sensitive external community contact to manage offenders work is complicated by the nature of the assigned caseload may require certification 
5,Probation Officer II,applies comprehensive knowledge of programs and laws governing probation and parole requires independent analysis and evaluation of case data ,,,__label__5 applies comprehensive knowledge of programs and laws governing probation and parole requires independent analysis and evaluation of case data 
5,Probation Manager I,frequent high impact contacts externally to manage offenders plans and directs a range of programs and services applies program knowledge ,,,__label__5 frequent high impact contacts externally to manage offenders plans and directs a range of programs and services applies program knowledge 
6,Probation Manager II,work is of unusual difficulty requiring direction of a full range of programs in the largest work units extensive sensitive contacts with law enforcement service providers and others to manage and supervise programs ,,,__label__6 work is of unusual difficulty requiring direction of a full range of programs in the largest work units extensive sensitive contacts with law enforcement service providers and others to manage and supervise programs 
1,Printing Technician I,applies knowledge on how to operate folding binding collating and other finishing equipment on occasion talks to customer about job order applies existing procedures and guidelines in completing the runs or printing services ,,,__label__1 applies knowledge on how to operate folding binding collating and other finishing equipment on occasion talks to customer about job order applies existing procedures and guidelines in completing the runs or printing services 
2,Printing Technician II,applies knowledge of basic offset printing digital printing or photocopy equipment and associated finishing equipment has frequent contact with customers to discuss job orders assignments range from producing printed materials having routine technical requirements to copying a variety of materials and cleaning and maintenance of equipment applies knowledge of electronic pre press software ,,,__label__2 applies knowledge of basic offset printing digital printing or photocopy equipment and associated finishing equipment has frequent contact with customers to discuss job orders assignments range from producing printed materials having routine technical requirements to copying a variety of materials and cleaning and maintenance of equipment applies knowledge of electronic pre press software 
3,Printing Technician III,applies knowledge of digital printing and photocopy techniques and equipment applies knowledge of supervisory principles and practices has contact with customers to discuss job orders assignments range from preparing a single document for reproduction to producing complex reports brochures and multi colored documents to supervising those reproducing the documents may work in a copy center and respond to customers handle cash cash receipts and key in registers ,,,__label__3 applies knowledge of digital printing and photocopy techniques and equipment applies knowledge of supervisory principles and practices has contact with customers to discuss job orders assignments range from preparing a single document for reproduction to producing complex reports brochures and multi colored documents to supervising those reproducing the documents may work in a copy center and respond to customers handle cash cash receipts and key in registers 
4,Printing Technician IV,applies knowledge of the technical resources of full range of printing services applies knowledge of printing or copying equipment techniques and materials frequently consults with customers and managers on complex job orders and resolution of problems assignments range from assessing customers needs to advising on technical matters e g materials to use format and presentation to developing job specifications ,,,__label__4 applies knowledge of the technical resources of full range of printing services applies knowledge of printing or copying equipment techniques and materials frequently consults with customers and managers on complex job orders and resolution of problems assignments range from assessing customers needs to advising on technical matters e g materials to use format and presentation to developing job specifications 
4,Printing Manager I,applies knowledge of the principles of management applies knowledge of printing production standards frequently consults with other managers and staff on production or job quality problems and vendors on cost problem resolution assignments range from heading a full service printing unit to preparing financial analysis and reports job costing to developing shop procedures presented with problems that do not have easy solutions ,,,__label__4 applies knowledge of the principles of management applies knowledge of printing production standards frequently consults with other managers and staff on production or job quality problems and vendors on cost problem resolution assignments range from heading a full service printing unit to preparing financial analysis and reports job costing to developing shop procedures presented with problems that do not have easy solutions 
5,Printing Manager II,manages administrative and technical printing services applies knowledge of management principles and program administration frequently consults with major customers on complex job orders outside printing contractors on cost and problem resolution and management on policies and procedure development assignments range from management of a full service printing operation to planning for new technologies ,,,__label__5 manages administrative and technical printing services applies knowledge of management principles and program administration frequently consults with major customers on complex job orders outside printing contractors on cost and problem resolution and management on policies and procedure development assignments range from management of a full service printing operation to planning for new technologies 
4,Policy and Planning Specialist I,assignments include data collection specialized research agency organizational studies strategic planning and statistical analyses frequent contact with agency employees and managers to gather data or discuss findings applies knowledge of research methodology statistical and analytical techniques and strategic planning theory and process ability to analyze and compile data and to write reports and recommends actions ,,,__label__4 assignments include data collection specialized research agency organizational studies strategic planning and statistical analyses frequent contact with agency employees and managers to gather data or discuss findings applies knowledge of research methodology statistical and analytical techniques and strategic planning theory and process ability to analyze and compile data and to write reports and recommends actions 
5,Policy and Planning Specialist II,applies knowledge of research analysis planning evaluation and measurement techniques and specialized knowledge of agency program areas and related agency state and federal policies may represent agency at legislative committee meetings sub committee meetings board meetings hearings and other public meetings provides technical and or administrative advice guidance regarding the modification of policies contracts and other program or procedural areas frequent contacts with agency management public officials and special interest groups to discuss interpret and review research studies findings and recommendations ,,,__label__5 applies knowledge of research analysis planning evaluation and measurement techniques and specialized knowledge of agency program areas and related agency state and federal policies may represent agency at legislative committee meetings sub committee meetings board meetings hearings and other public meetings provides technical and or administrative advice guidance regarding the modification of policies contracts and other program or procedural areas frequent contacts with agency management public officials and special interest groups to discuss interpret and review research studies findings and recommendations 
5,Policy and Planning Manager I,manages diverse staff and projects applies knowledge of research analysis planning performance measurement and evaluation methodologies specialized knowledge of agency program areas and project management contacts include agency management and other public officials at local state and national levels to consult on projects or results of analysis ,,,__label__5 manages diverse staff and projects applies knowledge of research analysis planning performance measurement and evaluation methodologies specialized knowledge of agency program areas and project management contacts include agency management and other public officials at local state and national levels to consult on projects or results of analysis 
6,Policy and Planning Specialist III,responsible for a broad range of complex analytical assignments involving multiple organizations programs policies and managers applies knowledge of subject area policies government administration and state legislative processes contacts include executive level decision makers such as agency heads and governors staff to discuss recommended program resource allocation or policy changes ,,,__label__6 responsible for a broad range of complex analytical assignments involving multiple organizations programs policies and managers applies knowledge of subject area policies government administration and state legislative processes contacts include executive level decision makers such as agency heads and governors staff to discuss recommended program resource allocation or policy changes 
6,Policy and Planning Manager II,manages directs research forecasting development implementation and evaluation of complex local state and national issues which affect policies plans regulations performance and legislation applies knowledge of policy analysis research methodologies project management technologies planning performance measurement and management principles and practices extensive internal and external contacts with national state and local agencies government officials and legislators to plan and manage policy ,,,__label__6 manages directs research forecasting development implementation and evaluation of complex local state and national issues which affect policies plans regulations performance and legislation applies knowledge of policy analysis research methodologies project management technologies planning performance measurement and management principles and practices extensive internal and external contacts with national state and local agencies government officials and legislators to plan and manage policy 
7,Policy and Planning Specialist IV,projects often address controversial unprecedented and sensitive issues applies knowledge of a variety of subject areas policies government administration and state legislative processes contacts include executive level decision makers such as agency heads legislators and governors staff to consult on new or proposed legislation and or to discuss recommended actions ,,,__label__7 projects often address controversial unprecedented and sensitive issues applies knowledge of a variety of subject areas policies government administration and state legislative processes contacts include executive level decision makers such as agency heads legislators and governors staff to consult on new or proposed legislation and or to discuss recommended actions 
7,Policy and Planning Manager III,manages division having diverse and multi disciplined professional and analytical staff applies knowledge of government administration and finance program planning performance measurement evaluation budgeting and financial analysis contacts include executive level decision makers such as agency heads legislators and the governor governors staff and cabinet to discuss proposed or new legislation or other critical policy issues ,,,__label__7 manages division having diverse and multi disciplined professional and analytical staff applies knowledge of government administration and finance program planning performance measurement evaluation budgeting and financial analysis contacts include executive level decision makers such as agency heads legislators and the governor governors staff and cabinet to discuss proposed or new legislation or other critical policy issues 
8,Policy and Planning Manager IV,performs work of unusual difficulty involving strategic planning and interpreting complex policies and regulations applies knowledge of government administration and finance program planning budgeting performance measurement evaluation and financial analysis contacts include executive level decision makers such as agency heads legislators and the governor the governors staff and cabinet to discuss statewide policy and financial programs and issues ,,,__label__8 performs work of unusual difficulty involving strategic planning and interpreting complex policies and regulations applies knowledge of government administration and finance program planning budgeting performance measurement evaluation and financial analysis contacts include executive level decision makers such as agency heads legislators and the governor the governors staff and cabinet to discuss statewide policy and financial programs and issues 
7,Physician I,applies knowledge of medical principles and practices and skill in the use of medical instruments equipment and procedures ability to accurately examine diagnose counsel and treat a variety of patients frequently consults on matters relating to medical treatment with patients and their families medical clinical or other professional staff and insurance companies ,,,__label__7 applies knowledge of medical principles and practices and skill in the use of medical instruments equipment and procedures ability to accurately examine diagnose counsel and treat a variety of patients frequently consults on matters relating to medical treatment with patients and their families medical clinical or other professional staff and insurance companies 
8,Physician II,tasks are varied and may include the most complex critical medical issues may require knowledge of administrative and supervisory principles additional postgraduate education or board certification in a specialty area may be required frequent contact with the public legal establishment or professional organizations to discuss services or to provide expert opinions ,,,__label__8 tasks are varied and may include the most complex critical medical issues may require knowledge of administrative and supervisory principles additional postgraduate education or board certification in a specialty area may be required frequent contact with the public legal establishment or professional organizations to discuss services or to provide expert opinions 
8,Physician Manager I,applies a variety of administrative coordinative and medical techniques and practices applies knowledge of principles and practices governing medical professions applies knowledge of management practices and principles analyzes medical problems and reaches conclusions that are logical and legally sound positions may require additional graduate education in health administration or public health frequent contacts to discuss medical programs with health care professionals professional associations media legislators local state and federal government agencies legal establishments ,,,__label__8 applies a variety of administrative coordinative and medical techniques and practices applies knowledge of principles and practices governing medical professions applies knowledge of management practices and principles analyzes medical problems and reaches conclusions that are logical and legally sound positions may require additional graduate education in health administration or public health frequent contacts to discuss medical programs with health care professionals professional associations media legislators local state and federal government agencies legal establishments 
9,"	
Physician Manager II",considerable hospital and administrative management experience frequent contacts to discuss facility or health care management issues and regulations with legislators attorney generals office law enforcement and court officials state and federal agencies patients and families licensees professional associations and certifying bodies ,,,__label__9 considerable hospital and administrative management experience frequent contacts to discuss facility or health care management issues and regulations with legislators attorney generals office law enforcement and court officials state and federal agencies patients and families licensees professional associations and certifying bodies 
5,Pharmacist I,applies knowledge of principles practices and laws governing pharmacy frequently consults on matters related to administration of drugs with pharmaceutical companies pharmacy facilities and businesses clinical and programmatic staff insurance carriers customers and schools of pharmacy assignments include all aspects of dispensing prescriptions and medical supplies and inventory management within a pharmacy adheres to accreditation standards and other regulatory requirements for dispensing and storing drugs ,,,__label__5 applies knowledge of principles practices and laws governing pharmacy frequently consults on matters related to administration of drugs with pharmaceutical companies pharmacy facilities and businesses clinical and programmatic staff insurance carriers customers and schools of pharmacy assignments include all aspects of dispensing prescriptions and medical supplies and inventory management within a pharmacy adheres to accreditation standards and other regulatory requirements for dispensing and storing drugs 
6,Pharmacist II,applies knowledge of clinical and administrative practices and laws governing pharmacy supervises administrative clinical and operational aspects of a pharmaceutical work unit applies knowledge of the principles of supervising and directing the work of others ,,,__label__6 applies knowledge of clinical and administrative practices and laws governing pharmacy supervises administrative clinical and operational aspects of a pharmaceutical work unit applies knowledge of the principles of supervising and directing the work of others 
6,Pharmacy Manager,manages administrative clinical and operational aspects of complex pharmaceutical operations applies knowledge of principles of management applies knowledge of standards and guidelines required by the accrediting agents and the virginia board of pharmacy contacts with other management vendors regulatory boards and others to resolve clinical and administrative problems regulates activities associated with the practice of a pharmacy ,,,__label__6 manages administrative clinical and operational aspects of complex pharmaceutical operations applies knowledge of principles of management applies knowledge of standards and guidelines required by the accrediting agents and the virginia board of pharmacy contacts with other management vendors regulatory boards and others to resolve clinical and administrative problems regulates activities associated with the practice of a pharmacy 
3,Licensed Practical Nurse,the scope of services involves assisting in direct patient care applies knowledge of principles and practices of practical nursing and pharmacology acquired through formal education and training contacts are made with patients in the provision of practical nursing care ,,,__label__3 the scope of services involves assisting in direct patient care applies knowledge of principles and practices of practical nursing and pharmacology acquired through formal education and training contacts are made with patients in the provision of practical nursing care 
4,Registered Nurse I,scope of services involves all aspects of professional nursing care applies knowledge of principles and practices of professional registered nursing care acquired through formal education and training contacts are made with patients medical support staff supervisory nurses and physicians in the provision of professional nursing care ,,,__label__4 scope of services involves all aspects of professional nursing care applies knowledge of principles and practices of professional registered nursing care acquired through formal education and training contacts are made with patients medical support staff supervisory nurses and physicians in the provision of professional nursing care 
5,Registered Nurse II,scope of work ranges from responsibility for a nursing specialty area working supervisor to charge nurse contacts are made with patients staff nurses supervisory manager level nurses physicians and other program or management staff assignments range from increased clinical or administrative responsibility to supervision of registered nurses lpns or other medical support staff may perform clinical research and study activities develop research protocol gather and analyze data and prepare abstracts for publication ,,,__label__5 scope of work ranges from responsibility for a nursing specialty area working supervisor to charge nurse contacts are made with patients staff nurses supervisory manager level nurses physicians and other program or management staff assignments range from increased clinical or administrative responsibility to supervision of registered nurses lpns or other medical support staff may perform clinical research and study activities develop research protocol gather and analyze data and prepare abstracts for publication 
5,Nurse Practitioner I,applies knowledge acquired through formal education in an accredited program may be designated according to field of specialization scope of work includes performing comprehensive physical examinations and preventive health measures ordering and performing therapeutic and diagnostic procedures and prescribing controlled substances and devices in accordance with current regulations contacts are made with patients in the provision of care and physicians for their consultation ,,,__label__5 applies knowledge acquired through formal education in an accredited program may be designated according to field of specialization scope of work includes performing comprehensive physical examinations and preventive health measures ordering and performing therapeutic and diagnostic procedures and prescribing controlled substances and devices in accordance with current regulations contacts are made with patients in the provision of care and physicians for their consultation 
5,Physician Assistant,applies knowledge acquired through formal education in an accredited program scope of work includes performing comprehensive physical examinations performing therapeutic procedures administering and ordering diagnostic procedures and prescribing controlled substances and devices in accordance with current regulations contacts are made with patients in the provision of care and physicians for their consultation ,,,__label__5 applies knowledge acquired through formal education in an accredited program scope of work includes performing comprehensive physical examinations performing therapeutic procedures administering and ordering diagnostic procedures and prescribing controlled substances and devices in accordance with current regulations contacts are made with patients in the provision of care and physicians for their consultation 
5,Registered Nurse Manager I,applies knowledge of the principles of supervision management leadership and administrative functions contacts are made with patients staff nurses supervisory nurses physicians and other clinical program or management staff concerning management of a nursing program ,,,__label__5 applies knowledge of the principles of supervision management leadership and administrative functions contacts are made with patients staff nurses supervisory nurses physicians and other clinical program or management staff concerning management of a nursing program 
6,Registered Nurse III,provides comprehensive services according to the specialized training received from an accredited program provides expert consultation on complex nursing issues contacts are made with patients staff nurses supervisory manager level nurses physicians and other program staff ,,,__label__6 provides comprehensive services according to the specialized training received from an accredited program provides expert consultation on complex nursing issues contacts are made with patients staff nurses supervisory manager level nurses physicians and other program staff 
